epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
127,6110.17,0.52941,0.28471,1.0792,0.99886,0.99894,0.995,0.92903,0.39963,0.20717,1.04704,0.0068815,0.0068815,0.0068815
128,6158.89,0.52948,0.28124,1.07124,0.99879,0.99894,0.99499,0.93001,0.39895,0.20864,1.04978,0.00685675,0.00685675,0.00685675
129,6208.33,0.53356,0.28988,1.07961,0.9983,0.99894,0.995,0.93193,0.41033,0.21852,1.05183,0.006832,0.006832,0.006832
130,6257.11,0.53455,0.28556,1.08492,0.99961,0.99894,0.995,0.93069,0.42236,0.21755,1.06446,0.00680725,0.00680725,0.00680725
131,6306.56,0.52789,0.28391,1.0826,0.99958,0.99894,0.995,0.92544,0.3965,0.20743,1.03952,0.0067825,0.0067825,0.0067825
132,6355.72,0.52985,0.28244,1.07886,0.99978,0.99894,0.995,0.92917,0.40468,0.20701,1.04988,0.00675775,0.00675775,0.00675775
133,6405.25,0.52184,0.27902,1.07045,0.99983,0.99894,0.995,0.93293,0.40426,0.2094,1.04065,0.006733,0.006733,0.006733
134,6454.11,0.52545,0.2818,1.07391,0.99761,0.99894,0.995,0.93053,0.41605,0.21047,1.06011,0.00670825,0.00670825,0.00670825
135,6503.06,0.52196,0.27924,1.07765,0.99985,0.99894,0.995,0.93335,0.41073,0.21096,1.05085,0.0066835,0.0066835,0.0066835
136,6552.3,0.51272,0.27661,1.06161,0.99882,0.99894,0.995,0.93391,0.41463,0.21434,1.0539,0.00665875,0.00665875,0.00665875
137,6601.01,0.52851,0.28078,1.06894,0.99852,0.99894,0.995,0.93701,0.40273,0.20693,1.04422,0.006634,0.006634,0.006634
138,6649.67,0.54182,0.28457,1.08608,0.99992,0.99894,0.995,0.93944,0.39639,0.20396,1.0416,0.00660925,0.00660925,0.00660925
139,6698.26,0.52402,0.27693,1.07183,0.99993,0.99894,0.995,0.92878,0.40441,0.20697,1.04979,0.0065845,0.0065845,0.0065845
140,6747.45,0.52133,0.27738,1.07229,0.99988,0.99894,0.995,0.93865,0.39782,0.20632,1.03993,0.00655975,0.00655975,0.00655975
141,6796.44,0.52911,0.28321,1.08002,0.99991,0.99894,0.995,0.92972,0.40088,0.21035,1.03948,0.006535,0.006535,0.006535
142,6845.44,0.5199,0.2809,1.07279,0.99882,0.99894,0.99499,0.92804,0.40818,0.20733,1.05481,0.00651025,0.00651025,0.00651025
143,6894.34,0.51926,0.27749,1.06337,0.99985,0.99894,0.995,0.93782,0.40235,0.20423,1.04277,0.0064855,0.0064855,0.0064855
144,6943.37,0.53403,0.28211,1.07983,0.99985,0.99894,0.995,0.93627,0.40319,0.20075,1.05095,0.00646075,0.00646075,0.00646075
145,6992.21,0.51751,0.27041,1.06825,0.99989,0.99894,0.995,0.92862,0.39704,0.20393,1.03328,0.006436,0.006436,0.006436
146,7041.61,0.52457,0.27706,1.07907,0.99987,0.99894,0.995,0.93584,0.39831,0.20108,1.0404,0.00641125,0.00641125,0.00641125
147,7090.73,0.51787,0.27582,1.06774,0.99982,0.99894,0.995,0.9412,0.39285,0.20057,1.03819,0.0063865,0.0063865,0.0063865
148,7140.1,0.51449,0.27405,1.06097,0.99978,0.99894,0.995,0.93628,0.39692,0.19679,1.03957,0.00636175,0.00636175,0.00636175
149,7188.69,0.52468,0.27587,1.07179,0.99989,0.99894,0.995,0.92682,0.39921,0.20206,1.03925,0.006337,0.006337,0.006337
150,7231.39,0.50585,0.26864,1.0647,0.99988,0.99894,0.995,0.9379,0.40124,0.19795,1.03799,0.00631225,0.00631225,0.00631225
151,7273.89,0.5124,0.27101,1.05986,0.99989,0.99894,0.995,0.94125,0.39071,0.19656,1.0247,0.0062875,0.0062875,0.0062875
152,7316.5,0.51425,0.27472,1.05903,0.99988,0.99894,0.995,0.93965,0.38778,0.19369,1.02465,0.00626275,0.00626275,0.00626275
153,7358.85,0.50575,0.27308,1.05243,0.99994,0.99894,0.995,0.9391,0.39215,0.19671,1.03107,0.006238,0.006238,0.006238
154,7401.68,0.52536,0.27742,1.0693,0.99991,0.99894,0.995,0.93973,0.39941,0.20011,1.0393,0.00621325,0.00621325,0.00621325
155,7444,0.52885,0.27445,1.07794,0.99972,0.99894,0.995,0.9395,0.39143,0.19669,1.02177,0.0061885,0.0061885,0.0061885
156,7487.08,0.51514,0.27101,1.06099,0.99888,0.99894,0.995,0.92898,0.39884,0.19651,1.0344,0.00616375,0.00616375,0.00616375
157,7529.59,0.50375,0.26685,1.05946,0.9989,0.99894,0.995,0.9375,0.4002,0.19646,1.03398,0.006139,0.006139,0.006139
158,7571.86,0.51422,0.27202,1.07207,0.99989,0.99894,0.995,0.94068,0.38897,0.19763,1.03342,0.00611425,0.00611425,0.00611425
159,7614.18,0.5169,0.27262,1.05902,0.99973,0.99894,0.995,0.93558,0.39302,0.19414,1.03368,0.0060895,0.0060895,0.0060895
160,7656.77,0.50348,0.26626,1.05547,0.99971,0.99894,0.995,0.93979,0.39039,0.19655,1.03208,0.00606475,0.00606475,0.00606475
161,7699.53,0.51075,0.27228,1.06708,0.99988,0.99894,0.995,0.94236,0.38068,0.19321,1.0224,0.00604,0.00604,0.00604
162,7742.54,0.51842,0.27111,1.07391,0.99991,0.99894,0.995,0.93777,0.3935,0.20164,1.02953,0.00601525,0.00601525,0.00601525
163,7785.38,0.51478,0.26802,1.06982,0.99886,0.99894,0.995,0.93801,0.38542,0.19727,1.02203,0.0059905,0.0059905,0.0059905
164,7827.98,0.5119,0.27045,1.06502,0.99985,0.99894,0.995,0.94019,0.38575,0.19537,1.01995,0.00596575,0.00596575,0.00596575
165,7870.54,0.50701,0.26749,1.05691,0.99981,0.99894,0.995,0.9348,0.38959,0.19232,1.02429,0.005941,0.005941,0.005941
166,7912.83,0.50165,0.26494,1.0614,0.99883,0.99894,0.99489,0.93219,0.38778,0.19827,1.02075,0.00591625,0.00591625,0.00591625
167,7955.21,0.50251,0.26581,1.06106,0.99986,0.99894,0.995,0.93863,0.39024,0.19609,1.0289,0.0058915,0.0058915,0.0058915
168,7998.22,0.50494,0.26973,1.05083,0.99991,0.99894,0.995,0.94169,0.38661,0.19121,1.02797,0.00586675,0.00586675,0.00586675
169,8041.96,0.49769,0.26606,1.04646,0.99992,0.99894,0.995,0.94171,0.38447,0.18762,1.02183,0.005842,0.005842,0.005842
170,8086.25,0.50428,0.26798,1.05128,0.99993,0.99894,0.995,0.93546,0.38527,0.19096,1.01802,0.00581725,0.00581725,0.00581725
171,8131.74,0.50089,0.2624,1.06181,0.99991,0.99894,0.995,0.94229,0.38663,0.19052,1.02515,0.0057925,0.0057925,0.0057925
172,8175.11,0.49789,0.26196,1.04837,0.99977,0.99894,0.995,0.93925,0.38783,0.18981,1.01995,0.00576775,0.00576775,0.00576775
173,8219.23,0.50185,0.26033,1.05135,0.99989,0.99894,0.995,0.93965,0.38279,0.18373,1.02231,0.005743,0.005743,0.005743
174,8265.47,0.49548,0.26383,1.04544,0.99893,0.99894,0.995,0.94126,0.38253,0.18859,1.02251,0.00571825,0.00571825,0.00571825
175,8312.6,0.49896,0.26213,1.05573,0.99882,0.99894,0.99498,0.94187,0.38614,0.18692,1.02546,0.0056935,0.0056935,0.0056935
176,8359.87,0.5073,0.26749,1.04991,0.9999,0.99894,0.995,0.94335,0.3795,0.18456,1.01636,0.00566875,0.00566875,0.00566875
177,8407.11,0.49494,0.26097,1.05327,0.99887,0.99894,0.99499,0.94365,0.37783,0.18532,1.0182,0.005644,0.005644,0.005644
178,8454.37,0.49337,0.26233,1.04482,0.99991,0.99894,0.995,0.94428,0.38003,0.18697,1.01398,0.00561925,0.00561925,0.00561925
179,8499.77,0.4975,0.2683,1.0544,0.99989,0.99894,0.995,0.94189,0.37799,0.18455,1.01115,0.0055945,0.0055945,0.0055945
180,8542.47,0.49403,0.26457,1.04746,0.9999,0.99894,0.995,0.9429,0.37659,0.18483,1.01283,0.00556975,0.00556975,0.00556975
181,8585.6,0.49806,0.26546,1.05257,0.9999,0.99894,0.995,0.94212,0.37855,0.18791,1.01636,0.005545,0.005545,0.005545
182,8628.05,0.49763,0.26245,1.05663,0.99991,0.99894,0.995,0.94726,0.37383,0.188,1.00881,0.00552025,0.00552025,0.00552025
183,8670.6,0.49571,0.26242,1.05226,0.99992,0.99894,0.995,0.94446,0.37608,0.18713,1.00762,0.0054955,0.0054955,0.0054955
